         150 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:455(usesTime)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:463(_format)
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\threading.py:122(RLock)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\threading.py:1427(current_thread)
        7    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\threading.py:1094(name)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:189(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:819(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:839(filter)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:451(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\whati\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:391(getMessage)
